1,2,5,4,1,13,3,22,25,24,21,33,23,7,10,27,30
2,2,5,8,16,14,3,32,31,28,36,34,23,9,10,29,30
3,2,11,4,16,13,3,32,25,28,21,34,23,7,10,29,30
4,2,11,8,1,14,3,22,31,24,36,33,23,9,10,27,30
5,12,5,4,16,14,3,22,25,28,36,33,23,7,10,29,30
6,12,5,8,1,13,3,32,31,24,21,34,23,9,10,27,30
7,12,11,4,1,14,3,32,25,24,36,34,23,9,10,29,30
8,12,11,8,16,13,3,22,31,28,21,33,23,7,10,27,30
9,2,5,4,16,13,3,22,31,24,36,34,26,7,10,29,30
10,2,5,8,1,14,3,32,25,28,21,33,26,9,10,27,30
11,2,11,4,1,13,3,32,31,28,36,33,26,9,10,29,30
12,2,11,8,16,14,3,22,25,24,21,34,26,7,10,27,30
13,12,5,4,1,14,3,22,31,28,21,34,26,9,10,29,30
14,12,5,8,16,13,3,32,25,24,36,33,26,7,10,27,30
15,12,11,4,16,14,3,32,31,24,21,33,26,9,10,27,30
16,12,11,8,1,13,3,22,25,28,36,34,26,7,10,29,30
17,2,5,4,1,14,3,32,31,24,21,34,37,7,10,27,30
18,2,5,8,16,13,3,22,25,28,36,33,37,9,10,29,30
19,2,11,4,16,14,3,22,31,28,36,34,37,7,10,27,30
20,2,11,8,1,13,3,32,25,24,21,33,37,9,10,29,30
21,12,5,4,16,13,3,32,31,28,21,33,37,7,10,29,30
22,12,5,8,1,14,3,22,25,24,36,34,37,9,10,27,30
23,12,11,4,1,13,3,22,31,24,36,33,37,7,10,29,30
24,12,11,8,16,14,3,32,25,28,21,34,37,9,10,27,30
25,2,5,4,16,14,6,32,25,24,36,33,23,9,10,27,30
26,2,5,8,1,13,6,22,31,28,21,34,23,7,10,29,30
27,2,11,4,1,14,6,22,25,28,21,33,23,9,10,29,30
28,2,11,8,16,13,6,32,31,24,36,34,23,7,10,27,30
29,12,5,4,1,13,6,32,25,28,36,34,23,7,10,27,30
30,12,5,8,16,14,6,22,31,24,21,33,23,9,10,29,30
31,12,11,4,16,13,6,22,25,24,21,34,23,9,10,27,30
32,12,11,8,1,14,6,32,31,28,36,33,23,7,10,29,30
33,2,5,4,1,13,6,32,25,24,21,34,26,9,10,29,30
34,2,5,8,16,14,6,22,31,28,36,33,26,7,10,27,30
35,2,11,4,16,13,6,22,31,28,21,33,26,9,10,27,30
36,2,11,8,1,14,6,32,25,24,36,34,26,7,10,29,30
