1,2,5,4,1,13,3,22,25,24,21,33,23,7,10,27,30
2,2,11,8,16,14,3,32,31,28,36,34,23,9,10,29,30
3,12,5,8,1,14,3,22,31,24,36,33,23,9,10,27,30
4,12,11,4,16,13,3,32,25,28,21,34,23,7,10,29,30
5,2,5,8,16,13,3,22,31,28,21,33,26,9,10,29,30
6,2,11,4,1,14,3,32,25,24,36,34,26,7,10,27,30
7,12,5,4,16,14,3,22,25,28,36,34,26,9,10,27,30
8,12,11,8,1,13,3,32,31,24,21,33,26,7,10,29,30
9,2,5,4,16,14,3,32,31,24,21,33,37,7,10,29,30
10,2,11,8,1,13,3,22,25,28,36,34,37,9,10,27,30
11,12,5,8,16,13,3,32,25,24,36,33,37,9,10,29,30
12,12,11,4,1,14,3,22,31,28,21,34,37,7,10,27,30
13,2,5,8,1,14,6,32,25,28,21,34,23,7,10,29,30
14,2,11,4,16,13,6,22,31,24,36,33,23,9,10,27,30
15,12,5,4,1,13,6,32,31,28,36,33,23,7,10,27,30
16,12,11,8,16,14,6,22,25,24,21,34,23,9,10,29,30
17,2,5,4,1,13,6,22,25,28,21,34,26,9,10,29,30
18,2,11,8,16,14,6,32,31,24,36,33,26,7,10,27,30
19,12,5,8,1,14,6,22,31,24,21,34,26,7,10,27,30
20,12,11,4,16,13,6,32,25,28,36,33,26,9,10,29,30
21,2,5,8,16,13,6,22,31,28,36,34,37,7,10,29,30
22,2,11,4,1,14,6,32,25,24,21,33,37,9,10,27,30
23,12,5,4,16,14,6,22,25,24,36,34,37,7,10,29,30
24,12,11,8,1,13,6,32,31,28,21,33,37,9,10,27,30
25,2,5,4,16,14,17,22,25,28,36,33,23,7,10,29,30
26,2,11,8,1,13,17,32,31,24,21,34,23,9,10,27,30
27,12,5,8,16,13,17,22,31,28,21,34,23,7,10,27,30
28,12,11,4,1,14,17,32,25,24,36,33,23,9,10,29,30
29,2,5,8,1,14,17,32,25,28,36,33,26,9,10,27,30
30,2,11,4,16,13,17,22,31,24,21,34,26,7,10,29,30
31,12,5,4,1,13,17,22,25,24,36,34,26,9,10,27,30
32,12,11,8,16,14,17,32,31,28,21,33,26,7,10,29,30
33,2,5,4,1,13,17,32,31,28,36,34,37,9,10,29,30
34,2,11,8,16,14,17,22,25,24,21,33,37,7,10,27,30
35,12,5,8,1,14,17,22,31,24,36,33,37,7,10,29,30
36,12,11,4,16,13,17,32,25,28,21,34,37,9,10,27,30
37,2,5,8,1,13,17,22,25,24,36,34,23,7,10,29,30
38,12,5,4,1,14,3,32,31,28,21,33,26,9,10,27,30
39,12,5,4,1,13,3,22,25,24,21,34,37,9,10,29,30
40,2,5,4,1,13,6,32,25,24,36,34,37,7,10,27,30
41,12,11,4,1,13,3,22,31,24,36,34,23,7,10,29,30
42,2,11,8,1,14,6,22,31,28,36,33,23,7,10,29,30
43,12,11,8,1,13,6,22,25,28,36,34,26,7,10,27,30
44,12,11,8,1,13,17,22,25,28,21,33,26,9,10,29,30
45,2,11,8,1,13,17,32,31,24,36,33,37,7,10,27,30
46,2,5,4,16,13,3,32,25,24,21,34,23,9,10,27,30
47,12,5,8,16,14,6,32,31,28,21,33,23,9,10,27,30
48,12,5,4,16,14,6,32,31,28,36,34,26,9,10,29,30
49,2,5,4,16,14,17,32,25,24,21,34,26,7,10,27,30
50,2,5,4,16,14,17,22,31,28,21,33,37,9,10,27,30
51,2,11,8,16,13,17,22,25,28,36,33,23,9,10,27,30
52,2,11,4,16,14,3,22,25,28,21,33,26,7,10,29,30
53,12,11,8,16,14,3,32,31,28,36,34,37,7,10,29,30
54,2,11,8,16,14,6,32,25,28,21,34,37,9,10,29,30
55,12,5,4,16,13,17,32,31,24,36,33,23,7,10,27,30
56,2,5,4,16,13,3,32,25,24,36,33,26,7,10,29,30
57,12,5,8,16,13,3,22,25,28,21,33,23,7,10,27,30
58,12,5,8,1,13,6,22,25,24,21,33,23,7,10,29,30
59,2,5,4,1,14,3,32,31,24,21,34,23,7,10,29,30
60,12,11,4,1,14,6,32,31,24,21,34,23,7,10,27,30
61,12,5,8,1,14,17,32,31,28,21,34,23,9,10,29,30
62,2,5,8,1,14,3,22,25,24,36,34,26,9,10,29,30
63,12,5,8,1,13,17,22,25,28,21,33,37,7,10,29,30
64,12,11,8,16,14,17,22,25,24,36,34,26,9,10,27,30
65,2,5,4,1,13,17,32,31,28,36,34,26,7,10,27,30
66,12,11,4,16,14,17,32,25,24,36,34,37,9,10,29,30
67,2,11,4,1,14,6,22,31,28,21,33,37,7,10,29,30
68,12,11,4,16,14,6,22,25,24,21,33,26,9,10,27,30
69,2,11,4,16,14,3,22,25,24,36,33,37,9,10,27,30
70,2,5,8,1,13,6,32,31,24,21,33,26,9,10,29,30
71,2,5,8,1,13,3,32,31,28,21,33,37,7,10,27,30
72,2,11,4,1,14,3,32,25,28,36,33,23,9,10,27,30
73,12,11,4,1,13,6,22,25,24,36,34,23,9,10,27,30
74,12,5,8,16,13,6,22,31,24,21,34,37,9,10,27,30
75,12,11,4,1,14,17,22,31,28,36,33,26,9,10,29,30
76,2,11,8,1,14,3,32,31,24,21,34,26,9,10,27,30
77,12,11,4,1,14,17,32,25,24,21,33,23,7,10,27,30
78,12,11,4,16,13,3,32,31,28,36,34,26,7,10,27,30
79,12,11,4,16,13,6,22,25,28,36,33,37,9,10,29,30
80,2,5,4,1,13,17,22,31,24,21,33,26,7,10,27,30
81,12,11,8,16,13,17,22,25,28,36,34,37,9,10,27,30
82,12,5,4,16,13,17,22,31,28,21,34,23,9,10,29,30
83,2,5,8,16,13,6,32,25,28,21,33,37,7,10,27,30
84,2,11,8,16,14,6,22,31,28,36,33,23,9,10,27,30
85,12,11,8,1,13,3,32,31,28,36,34,37,9,10,29,30
86,12,5,4,1,13,17,32,25,24,21,34,37,7,10,27,30
87,12,5,8,1,14,3,32,25,28,36,33,37,7,10,27,30
88,12,11,4,16,13,6,22,25,24,21,34,23,7,10,29,30
89,12,11,4,1,14,6,22,31,28,21,34,26,7,10,29,30
90,12,11,8,16,14,3,32,25,24,36,33,23,9,10,29,30
91,2,5,8,1,14,17,22,25,24,21,34,26,9,10,29,30
