Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040118495300102-.bmp,0.017402593,5.948555686,0.996972546,982.4352597,0.560997567,35.960997,4.298068183,4926.333544,5.37087204,1.561843274,1.30E-04,1.396103938,940487.5427,3.24E+08,0,0.0739241,17.9804985,0,0,0,0.009505928,6.831341288,0.988069556,286.2987001,0.415516295,22.74547144,3.893358454,1493.765623,5.380634667,1.758378479,1.12E-04,1.867361111,161749.5016,3.25E+07,0,0.026545383,11.37273572,0,0,0
2015040118495300104-.bmp,0.008807887,4.573669797,0.991035303,255.0933792,0.487741485,29.07092462,4.198960616,1634.414441,5.479140581,1.576706966,1.24E-04,1.481514085,146180.3525,3.98E+07,0,0.028622196,14.53546231,0,0,0,0.002880294,72.83730112,0.921487041,463.8552784,0.169287762,42.04341093,4.692477765,3177.676021,7.115686736,2.907973544,6.09E-05,6.517048122,178107.4092,3.88E+07,0,0.035168884,21.02170546,0,0,0
2015040118495300106-.bmp,0.004590059,10.2125,0.990181746,520.077219,0.377241681,39.20912233,4.585335262,3268.903007,6.247046776,1.931307665,1.04E-04,2.249843505,279447.4858,6.82E+07,0,0.017393714,19.60456116,0,0,0,0.021954056,696.6854525,0.524712247,732.9091143,0.168387859,48.99752217,3.649964359,4291.352004,5.119615531,2.86711077,6.66E-05,19.67230047,205858.4299,4.04E+07,0,0.119278169,24.49876109,0,0,0
2015040118495300107-.bmp,0.018918835,4.005858764,0.995380639,433.5944743,0.553886148,23.35588485,3.896956866,2109.021917,4.965720021,1.453469591,1.33E-04,1.251881195,387395.0806,1.20E+08,0,0.062734742,11.67794242,0,0,0,0.009455892,4.964896322,0.988371288,213.4757538,0.449104888,20.71542449,3.840917329,1133.687111,5.223824149,1.635345412,1.18E-04,1.624259911,166464.9367,4.86E+07,0,0.025303208,10.35771225,0,0,0
2015040118495300108-.bmp,0.016150526,4.175084768,0.995411305,454.9316533,0.563788972,29.35578378,4.209548403,2447.884682,5.258813063,1.478185453,1.32E-04,1.249954356,405822.4798,1.56E+08,0,0.068358764,14.67789189,0,0,0,0.015989012,5.138553078,0.990009485,257.1715923,0.469948474,21.58005673,3.854833568,1337.731352,5.165158734,1.631928921,1.20E-04,1.579482916,155203.823,4.40E+07,0,0.047235263,10.79002836,0,0,0
2015040118495300109-.bmp,0.003180206,10.11175339,0.984663585,329.6648307,0.35423461,41.35196596,4.614942061,2658.156495,6.357506604,1.951454671,1.02E-04,2.338540037,125689.2278,2.88E+07,0,0.010136281,20.67598298,0,0,0,0.005693966,50.13605569,0.971423231,877.2170169,0.218027837,57.62076487,4.89991371,6238.220159,7.097169701,2.715155714,6.87E-05,5.197375456,305392.0593,7.02E+07,0,0.05506325,28.81038243,0,0,0
2015040118495300110-.bmp,0.011046312,3.331931403,0.993644261,262.1199197,0.554941469,25.23222483,4.102542484,1491.611223,5.166327242,1.417887167,1.34E-04,1.197235263,199425.2604,6.07E+07,0,0.03545253,12.61611242,0,0,0,9.39E-04,56.61122196,0.962485988,754.5343552,0.168717931,64.5534494,5.093565752,6497.003962,7.607526036,2.77440023,6.58E-05,5.753495044,251118.6492,5.22E+07,0,0.003853678,32.2767247,0,0,0
2015040118495300111-.bmp,0.014659165,4.209252739,0.993872685,343.4826405,0.547215311,24.53889541,4.024879086,1790.546175,5.122504495,1.475824121,1.32E-04,1.285296035,238011.1322,6.37E+07,0,0.052976656,12.2694477,0,0,0,0.014236654,312.067172,0.843372103,996.205588,0.157102282,50.69325443,4.188580003,5835.439924,5.847974936,3.01274048,6.15E-05,13.15508281,500228.2747,1.13E+08,0,0.095034559,25.34662722,0,0,0
2015040118495300112-.bmp,3.70E-04,76.45255282,0.967024383,1159.228542,0.144356867,116.4007531,5.527901628,16853.25082,8.315614405,2.922708707,6.07E-05,6.755226265,288644.7807,7.95E+07,0,0.001594288,58.20037656,0,0,0,0.002802724,833.337963,0.698337319,1381.241392,0.089107358,102.5483307,4.612907055,14282.97482,6.674226169,3.256147556,5.27E-05,22.37330464,198098.3739,6.34E+07,0,0.033095331,51.27416536,0,0,0
2015040118495300113-.bmp,0.010427039,5.925619457,0.99312586,431.0080296,0.474368287,30.85873761,4.27687994,2424.701656,5.605949439,1.666508487,1.20E-04,1.628723266,265379.6924,7.49E+07,0,0.038725874,15.42936881,0,0,0,0.001887722,156.769376,0.889286424,707.9952682,0.121920692,58.04988589,4.942955903,5495.55771,7.15922431,3.232777698,5.20E-05,9.677031168,280502.7716,6.43E+07,0,0.0237024,29.02494294,0,0,0
