Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040120082600459-.bmp,4.18E-04,67.87036059,0.976712764,1457.243803,0.156603991,105.8703802,5.562238027,15822.82823,8.259780257,2.860184766,6.32E-05,6.282795383,440926.7333,1.23E+08,0,0.002445227,52.93519008,0,0,0,0.006868235,619.9585648,0.636504204,852.7726754,0.113409121,64.93439945,4.175649666,6482.757813,6.004216233,3.065234506,5.80E-05,19.16303143,191046.7281,3.77E+07,0,0.055549035,32.46719973,0,0,0
2015040120082600519-.bmp,0.008054673,5.269457486,0.9900079,263.6811765,0.458481275,27.35009781,4.193890652,1585.665178,5.563010069,1.643564131,1.19E-04,1.620781168,160246.7537,4.63E+07,0,0.02521844,13.6750489,0,0,0,0.058250918,1765.450985,0.088723249,968.6689483,0.24583404,50.27694314,2.921486581,4351.764075,4.028599306,2.5428436,8.10E-05,30.02270475,116426.0508,2.16E+07,0,0.211668623,25.13847157,0,0,0
2015040120082600586-.bmp,0.003916416,10.04271648,0.992211257,644.6942795,0.378310456,44.5776278,4.703571435,4158.674773,6.359538906,1.922817644,1.05E-04,2.232844288,400042.5954,1.06E+08,0,0.015310381,22.2888139,0,0,0,0.036749437,736.1044405,0.373134889,587.1314482,0.204050651,40.29451617,3.263251777,2983.735895,4.539207603,2.705725176,7.33E-05,19.90269953,161758.6267,3.55E+07,0,0.160296035,20.14725809,0,0,0
2015040120082600666-.bmp,0.006641462,5.380757694,0.988039084,224.9308323,0.441181006,29.01494523,4.239458714,1508.167303,5.664507341,1.668741953,1.17E-04,1.684239697,110889.4435,2.76E+07,0,0.020559468,14.50747261,0,0,0,0.02308839,997.9073096,0.3423902,758.7381677,0.167440082,52.78476787,3.481539885,4467.853651,4.958909692,2.806469262,6.78E-05,23.65628586,137156.7769,2.79E+07,0,0.122134194,26.39238393,0,0,0
2015040120082600691-.bmp,0.003008863,17.93998761,0.987900325,741.3417119,0.322875971,48.56874348,4.803132783,4862.85554,6.691832188,2.169565225,9.39E-05,2.924044731,399176.2902,9.53E+07,0,0.01163602,24.28437174,0,0,0,0.062501614,1801.204066,0.044026857,942.0788013,0.253327463,49.03349961,2.850856911,4099.947626,3.924438725,2.504458069,8.26E-05,30.26331834,94544.21436,1.63E+07,0,0.219838941,24.5167498,0,0,0
2015040120082600800-.bmp,0.001028844,26.17756586,0.978199744,600.3958251,0.234646551,74.76219027,5.107740809,7227.148065,7.359959792,2.405150488,8.01E-05,3.889198618,188381.269,4.18E+07,0,0.002774517,37.38109514,0,0,0,0.020464751,1210.976594,0.36188161,948.8651428,0.161024257,60.93475809,3.574403085,5874.694303,5.093501885,2.881499805,6.60E-05,26.1036874,159180.5561,3.22E+07,0,0.114925665,30.46737904,0,0,0
2015040120082600817-.bmp,0.002490027,13.82700183,0.99091482,760.9646799,0.319920398,52.10337115,4.866977495,5261.308604,6.739632315,2.086883043,9.56E-05,2.716171101,429571.0983,1.10E+08,0,0.008815858,26.05168558,0,0,0,0.008334215,844.5055034,0.652917812,1216.57857,0.120153469,73.990506,4.166257893,8897.234401,5.952412497,3.064708529,5.87E-05,22.18299426,368143.9689,8.83E+07,0,0.066236307,36.995253,0,0,0
2015040120082600819-.bmp,0.001182825,21.70437207,0.986404028,798.1912802,0.257946482,75.25143127,5.152127255,8084.973173,7.284955144,2.309298049,8.46E-05,3.49320879,346325.551,8.47E+07,0,0.004006912,37.62571564,0,0,0,0.020297263,1580.463713,0.279114305,1096.19578,0.156339065,65.42895801,3.496813247,6639.90996,4.980283955,2.857784713,6.61E-05,29.9998109,177115.4882,3.91E+07,0,0.110377543,32.714479,0,0,0
2015040120082600827-.bmp,0.002346811,12.02980569,0.988612462,528.2004505,0.331220551,48.87606286,4.821394818,4041.585772,6.647101862,2.031012209,9.79E-05,2.560537298,248920.8578,6.15E+07,0,0.006814032,24.43803143,0,0,0,0.009713978,592.4503293,0.69161106,960.5570325,0.129148931,63.00357003,4.146148585,6713.97386,5.898315722,3.028717518,5.98E-05,18.52481416,283076.2479,5.91E+07,0,0.073428534,31.50178502,0,0,0
2015040120082600890-.bmp,7.71E-04,39.37436424,0.983203768,1172.118974,0.208288879,83.02482068,5.361940172,10680.62454,7.76018385,2.591920213,7.35E-05,4.687535863,453066.1295,1.13E+08,0,0.002924491,41.51241034,0,0,0,0.031583144,1452.681514,0.206438956,915.2928592,0.187246347,55.55678143,3.293956887,4939.892752,4.617088425,2.75444287,7.07E-05,28.25242567,122916.7701,2.34E+07,0,0.146488654,27.77839071,0,0,0
